Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,ATL,NL,Gerald,Gerald June,Perry,perryge01,perryge01,ATL,,ATL,1988
1,CIN,NL,Chris,Christopher Andrew,Sabo,saboch01,saboch01,CIN,,CIN,1988
1,SFG,NL,Robby,Robert Randall,Thompson,thompro01,thompro01,SFN,,SFN,1988
1,PIT,NL,Andy,Andrew James,Van Slyke,vanslan01,vanslan01,PIT,,PIT,1988
1,PIT,NL,Bob,Robert Vernon,Walk,walkbo01,walkbo01,PIT,,PIT,1988
1,STL,NL,Todd,Todd Roland,Worrell,worreto01,worreto01,SLN,,SLN,1988
1,OAK,AL,Dave,David Keith,Stewart,stewada01,stewada01,OAK,1,OAK,1989
1,OAK,AL,Terry,Terry Lee,Steinbach,steinte01,steinte01,OAK,2,OAK,1989
1,OAK,AL,Mark,Mark David,McGwire,mcgwima01,mcgwima01,OAK,3,OAK,1989
1,TEX,AL,Julio,Julio Cesar,Franco,francju01,francju01,TEX,4,TEX,1989
1,BOS,AL,Wade,Wade Anthony,Boggs,boggswa01,boggswa01,BOS,5,BOS,1989
1,BAL,AL,Cal,Calvin Edwin,Ripken,ripkeca01,ripkeca01,BAL,6,BAL,1989
1,KCR,AL,Bo,Vincent Edward,Jackson,jacksbo01,jacksbo01,KCA,7,KCA,1989
1,MIN,AL,Kirby,Kirby,Puckett,puckeki01,puckeki01,MIN,8,MIN,1989
1,TEX,AL,Ruben,Ruben Angel,Sierra,sierrru01,sierrru01,TEX,9,TEX,1989
1,CHW,AL,Harold,Harold Douglas,Baines,baineha01,baineha01,CHA,10,CHA,1989
1,OAK,AL,Jose,Jose,Canseco,cansejo01,cansejo01,OAK,,OAK,1989
1,TOR,AL,Tony,Octavio Antonio,Fernandez,fernato01,fernato01,TOR,,TOR,1989
1,ANA,AL,Chuck,Charles Edward,Finley,finlech01,finlech01,CAL,,CAL,1989
1,MIN,AL,Gary,Gary Joseph,Gaetti,gaettga01,gaettga01,MIN,,MIN,1989
1,BOS,AL,Mike,Michael Lewis,Greenwell,greenmi01,greenmi01,BOS,,BOS,1989
1,TOR,AL,Kelly,Kelly Wayne,Gruber,grubeke01,grubeke01,TOR,,TOR,1989
1,KCR,AL,Mark,Mark Steven,Gubicza,gubicma01,gubicma01,KCA,,KCA,1989
1,DET,AL,Mike,Michael Alan,Henneman,hennemi01,hennemi01,DET,,DET,1989
1,CLE,AL,Doug,Douglas Reid,Jones,jonesdo01,jonesdo01,CLE,,CLE,1989
1,SEA,AL,Jeffrey,Jeffrey,Leonard,leonaje01,leonaje01,SEA,,SEA,1989
1,NYY,AL,Don,Donald Arthur,Mattingly,mattido01,mattido01,NYA,,NYA,1989
1,OAK,AL,Mike,Michael Wayne,Moore,mooremi01,mooremi01,OAK,,OAK,1989
1,MIL,AL,Dan,Daniel Thomas,Plesac,plesada01,plesada01,ML4,,ML4,1989
1,TEX,AL,Jeff,Jeffrey Lee,Russell,russeje01,russeje01,TEX,,TEX,1989
1,TEX,AL,Nolan,Lynn Nolan,Ryan,ryanno01,ryanno01,TEX,,TEX,1989
1,NYY,AL,Steve,Stephen Louis,Sax,saxst01,saxst01,NYA,,NYA,1989
1,CLE,AL,Greg,Forest Gregory,Swindell,swindgr01,swindgr01,CLE,,CLE,1989
1,BAL,AL,Mickey,Mickey Lee,Tettleton,tettlmi01,tettlmi01,BAL,,BAL,1989
1,ANA,AL,Devon,Devon Markes,White,whitede03,whitede03,CAL,,CAL,1989
1,SFG,NL,Rick,Rickey Eugene,Reuschel,reuscri01,reuscri01,SFN,1,SFN,1989
1,SDP,NL,Benito,Benito,Santiago,santibe01,santibe01,SDN,2,SDN,1989
